du_lieu,nhan
giúp mình mở quạt để dễ chịu hơn đi,bat_quat
giúp tôi tôi muốn không khí thoáng hơn,bat_quat
"giúp mình ngột ngạt quá, cho mát hơn giúp mình",bat_quat
giúp tôi gió mạnh quá với,tat_quat
làm ơn tắt quạt bàn để đỡ ồn,tat_quat
"này, đủ mát rồi, cho quạt nghỉ đi với",tat_quat
"này, anh thấy chói mắt quá đi",tat_den
"này, ánh sáng yếu quá, tăng sáng lên nhé",bat_den
"giúp mình mồ hôi bắt đầu ra rồi, cho mát hơn nhé",bat_quat
"mình muốn ngủ, tắt đèn đi hộ mình",tat_den
bàn học thiếu sáng quá hộ tôi,bat_den
anh đang cần sáng hơn một chút!,bat_den
"ơi, cho yên hơn để thư giãn giúp mình",tat_quat
giúp tôi anh muốn thêm ánh sáng hộ tôi,bat_den
"ơi, tắt đèn để chợp mắt giúp tôi",tat_den
"làm ơn đủ sáng rồi, bớt sáng lại",tat_den
mở đèn trong phòng hộ mình,bat_den
tắt đèn học để chuẩn bị ngủ,tat_den
"này, giảm ánh sáng đi với",tat_den
"giúp tôi đủ mát rồi, cho quạt nghỉ đi hộ mình",tat_quat
"này, mở quạt bàn để mát hơn hộ mình",bat_quat
"này, bật quạt bàn cho mình hộ mình",bat_quat
"ơi, đèn làm mình mỏi mắt, tắt đi nhé",tat_den
giúp mình mờ mờ quá hộ tôi,bat_den
"giúp tôi gió tạt vào người khó chịu, cho quạt nghỉ đi hộ mình",tat_quat
"này, tối mắt quá hộ tôi",bat_den
mình cần mở quạt ngay nhé,bat_quat
tớ đang cần mở quạt ngay giúp mình,bat_quat
"ơi, không cần quạt nữa, tắt quạt đi giúp mình",tat_quat
"ơi, tắt quạt trong phòng đi hộ mình",tat_quat
làm ơn mở quạt trong phòng lên nhé,bat_quat
"góc học ngột ngạt quá, bật quạt lên nhé",bat_quat
giúp mình bớt ánh sáng đi giúp tôi,tat_den
"giúp mình quạt ồn quá, cho quạt nghỉ đi giúp tôi",tat_quat
giúp tôi tắt ánh sáng cho mình hộ mình,tat_den
"ơi, sáng quá, bớt sáng lại hộ mình",tat_den
"Chỗ này tối thật, bật đèn lên",bat_den
giúp tôi tớ muốn không khí thoáng hơn giúp tôi,bat_quat
tắt đèn trong phòng để chuẩn bị ngủ hộ tôi,tat_den
giúp tôi cho sáng hơn để học,bat_den
làm ơn tắt quạt điện vì lạnh rồi,tat_quat
"mình xong việc rồi, tắt đèn đi giúp mình",tat_den
làm ơn cho yên hơn để tập trung với,tat_quat
ngay bây giờ bật quạt bàn giúp tôi,bat_quat
"Mồ hôi bắt đầu ra rồi, cho mát hơn",bat_quat
làm ơn giảm đèn trong phòng đi giúp tôi,tat_den
làm ơn lúc này bật đèn trong phòng hộ tôi,bat_den
"này, bàn học tối quá, cho sáng hơn",bat_den
giúp mình quạt mạnh quá nhé,tat_quat
làm ơn anh đang cần mở quạt ngay nhé,bat_quat
làm ơn tớ muốn ánh sáng dịu hơn với,tat_den
"ơi, ánh sáng làm mình mỏi mắt nhé",tat_den
"ơi, mình rất cần bật quạt giúp mình",bat_quat
làm ơn mình đang cần mở quạt ngay đi,bat_quat
"gió tạt vào người khó chịu, thôi không cần quạt nữa hộ mình",tat_quat
"giúp mình đủ sáng rồi, giảm ánh sáng đi hộ mình",tat_den
"giúp mình mình nhìn không rõ, cho sáng hơn hộ tôi",bat_den
"ơi, ngột ngạt quá",bat_quat
"ơi, gắt quá, cho dịu ánh sáng hơn hộ tôi",tat_den
giúp mình tôi muốn tắt quạt hộ mình,tat_quat
"quạt ồn quá, tắt quạt đi hộ mình",tat_quat
giúp mình bật đèn để viết bài nhé,bat_den
giúp tôi anh không cần đèn nữa hộ tôi,tat_den
anh muốn tắt quạt đi,tat_quat
"giúp tôi phòng đang sáng quá, cho dịu ánh sáng hơn giúp mình",tat_den
cho sáng hơn để xem tài liệu hộ mình,bat_den
"đèn làm mình mỏi mắt, tắt đi.",tat_den
"ơi, đèn gắt quá, giảm ánh sáng đi với",tat_den
"Nóng quá, cần gió một chút",bat_quat
làm ơn tớ đang cần bật đèn hộ tôi,bat_den
giúp mình bật quạt bàn để dễ chịu hơn giúp tôi,bat_quat
mắt mỏi vì đèn quá sáng,tat_den
"ơi, em muốn bật quạt",bat_quat
giúp tôi bật đèn để ôn bài đi,bat_den
"đủ sáng rồi, bớt sáng lại",tat_den
giúp mình mình chuẩn bị ngủ nên tắt đèn hộ mình,tat_den
"này, hơi lạnh rồi, cho quạt nghỉ đi",tat_quat
"giúp mình oi quá, mở quạt đi đi",bat_quat
"giúp mình mình bắt đầu lạnh rồi, tắt quạt giúp mình hộ tôi",tat_quat
"ơi, em muốn tắt quạt với",tat_quat
"không cần sáng nữa, giảm ánh sáng đi nhé",tat_den
"này, đèn rọi mạnh quá, cho dịu ánh sáng hơn",tat_den
không muốn quạt nữa hộ mình,tat_quat
giúp tôi mờ mờ quá hộ mình,bat_den
bớt ánh sáng đi nhé,tat_den
"hơi lạnh rồi, ngừng quạt lại giúp mình",tat_quat
"làm ơn mình xong việc rồi, tắt đèn đi",tat_den
"này, mở đèn học cho mình",bat_den
mở đèn cho mình đọc sách.,bat_den
anh muốn ánh sáng dịu hơn hộ tôi,tat_den
làm ơn ngay bật đèn bàn đi,bat_den
"ơi, tớ đang cần thêm ánh sáng hộ tôi",bat_den
"mắt mỏi vì đèn quá sáng, giảm ánh sáng đi hộ tôi",tat_den
"ơi, oi bức quá, cần gió một chút giúp tôi",bat_quat
"giúp tôi đèn rọi mạnh quá, cho dịu ánh sáng hơn nhé",tat_den
"làm ơn sáng quá, bớt sáng lại giúp tôi",tat_den
"quạt đang thổi mạnh quá, tắt quạt đi hộ mình",tat_quat
"ơi, mình đang cần sáng hơn một chút giúp mình",bat_den
"ơi, gió tạt vào người khó chịu, cho quạt nghỉ đi",tat_quat
"ơi, bây giờ mở quạt điện giúp tôi",bat_quat
"mắt mỏi vì đèn quá sáng, cho dịu ánh sáng hơn giúp mình",tat_den
tôi rất cần mở đèn để đọc rõ hơn giúp mình,bat_den
"giúp mình thiếu ánh sáng quá, cần thêm ánh sáng giúp mình",bat_den
"ơi, bật ánh sáng lên với",bat_den
"này, mình rất cần mát hơn hộ mình",bat_quat
"giúp mình không cần sáng nữa, bớt sáng lại giúp tôi",tat_den
"làm ơn chói quá, cho dịu ánh sáng hơn hộ tôi",tat_den
làm ơn tắt đèn bàn cho mình giúp tôi,tat_den
"này, cho yên hơn để thư giãn nhé",tat_quat
giúp tôi đèn gắt quá giúp tôi,tat_den
"ơi, tắt quạt cho mình",tat_quat
giúp mình tớ đang cần thêm ánh sáng với,bat_den
"bí quá, cho mát hơn.",bat_quat
"giúp mình thiếu sáng quá, cho sáng hơn giúp mình",bat_den
"giúp mình khó nhìn quá, mở đèn đi giúp mình",bat_den
giúp tôi tắt quạt điện để đỡ ồn hộ mình,tat_quat
làm ơn tắt đèn bàn đi giúp tôi,tat_den
"ơi, tắt quạt bàn vì lạnh rồi hộ mình",tat_quat
"này, oi quá, bật quạt lên đi",bat_quat
làm ơn bật quạt để viết bài cho dễ chịu hộ mình,bat_quat
phòng tự học thiếu sáng quá giúp mình,bat_den
giúp tôi em muốn tắt đèn hộ tôi,tat_den
"giúp tôi ánh sáng mạnh quá, giảm ánh sáng đi nhé",tat_den
giúp tôi góc học nóng quá hộ mình,bat_quat
"Không thoáng chút nào, bật quạt lên",bat_quat
"đèn rọi mạnh quá, tắt đèn đi với",tat_den
"giúp tôi phòng học hầm quá, cho mát hơn với",bat_quat
tôi muốn thêm ánh sáng,bat_den
"ơi, lạnh rồi, thôi không cần quạt nữa đi",tat_quat
"này, phòng bí quá giúp mình",bat_quat
giúp mình quạt đang thổi mạnh quá hộ mình,tat_quat
"ơi, tôi muốn mở quạt ngay đi",bat_quat
giúp tôi mình đang cần sáng hơn một chút,bat_den
"ơi, tắt quạt điện vì lạnh rồi hộ mình",tat_quat
trời tối rồi,bat_den
"làm ơn cần mát hơn, bật quạt lên giúp tôi",bat_quat
