text,device,intent
mở quạt,quạt,ON
cho tôi đừng mở quạt,quạt,OFF
vui lòng đóng quạt,quạt,OFF
vui lòng đừng có đóng quạt,quạt,ON
làm ơn cho mạnh hơn quạt,quạt,INCREASE
làm ơn không cần tăng quạt,quạt,DECREASE
cho tôi làm nhẹ lại quạt,quạt,DECREASE
vui lòng không cần làm nhẹ lại quạt,quạt,INCREASE
làm ơn bật đèn,đèn,ON
làm ơn đừng có mở đèn,đèn,OFF
làm ơn đóng đèn,đèn,OFF
giúp mình không cần đóng đèn,đèn,ON
làm mạnh hơn đèn,đèn,INCREASE
vui lòng khỏi cần tăng đèn,đèn,DECREASE
cho tôi làm nhẹ lại đèn,đèn,DECREASE
không cần làm nhẹ lại đèn,đèn,INCREASE
cho tôi bật quạt,quạt,ON
làm ơn đừng mở quạt,quạt,OFF
vui lòng tắt quạt,quạt,OFF
vui lòng không cần tắt quạt,quạt,ON
giúp mình làm mạnh hơn quạt,quạt,INCREASE
cho tôi đừng tăng quạt,quạt,DECREASE
giảm quạt,quạt,DECREASE
cho tôi đừng vặn nhỏ quạt,quạt,INCREASE
vui lòng mở đèn,đèn,ON
làm ơn không cần bật đèn,đèn,OFF
làm ơn tắt đèn,đèn,OFF
giúp mình không đóng đèn,đèn,ON
cho mạnh hơn đèn,đèn,INCREASE
cho tôi đừng tăng đèn,đèn,DECREASE
cho tôi làm nhẹ lại đèn,đèn,DECREASE
không cho yếu đi đèn,đèn,INCREASE
giúp mình mở quạt,quạt,ON
cho tôi khỏi cần mở quạt,quạt,OFF
đóng quạt,quạt,OFF
làm ơn khỏi cần tắt quạt,quạt,ON
cho tôi cho mạnh hơn quạt,quạt,INCREASE
làm ơn khỏi cần cho mạnh hơn quạt,quạt,DECREASE
làm ơn vặn nhỏ quạt,quạt,DECREASE
giúp mình đừng có cho yếu đi quạt,quạt,INCREASE
bật đèn,đèn,ON
làm ơn đừng mở đèn,đèn,OFF
giúp mình tắt đèn,đèn,OFF
giúp mình không cần đóng đèn,đèn,ON
cho tôi cho mạnh hơn đèn,đèn,INCREASE
cho tôi đừng cho mạnh hơn đèn,đèn,DECREASE
cho yếu đi đèn,đèn,DECREASE
không cần giảm đèn,đèn,INCREASE
cho tôi mở quạt,quạt,ON
vui lòng khỏi cần bật quạt,quạt,OFF
làm ơn đóng quạt,quạt,OFF
giúp mình đừng tắt quạt,quạt,ON
làm mạnh hơn quạt,quạt,INCREASE
giúp mình không làm mạnh hơn quạt,quạt,DECREASE
làm ơn làm nhẹ lại quạt,quạt,DECREASE
làm ơn khỏi cần cho yếu đi quạt,quạt,INCREASE
giúp mình mở đèn,đèn,ON
vui lòng đừng có mở đèn,đèn,OFF
vui lòng đóng đèn,đèn,OFF
làm ơn không tắt đèn,đèn,ON
giúp mình làm mạnh hơn đèn,đèn,INCREASE
làm ơn không cần cho mạnh hơn đèn,đèn,DECREASE
vui lòng vặn nhỏ đèn,đèn,DECREASE
vui lòng không cần làm nhẹ lại đèn,đèn,INCREASE
giúp mình bật quạt,quạt,ON
vui lòng khỏi cần bật quạt,quạt,OFF
làm ơn tắt quạt,quạt,OFF
không đóng quạt,quạt,ON
vui lòng làm mạnh hơn quạt,quạt,INCREASE
giúp mình không cần làm mạnh hơn quạt,quạt,DECREASE
làm ơn cho yếu đi quạt,quạt,DECREASE
vui lòng đừng vặn nhỏ quạt,quạt,INCREASE
giúp mình mở đèn,đèn,ON
cho tôi đừng có bật đèn,đèn,OFF
vui lòng đóng đèn,đèn,OFF
cho tôi khỏi cần đóng đèn,đèn,ON
cho tôi làm mạnh hơn đèn,đèn,INCREASE
làm ơn không vặn to đèn,đèn,DECREASE
làm ơn cho yếu đi đèn,đèn,DECREASE
vui lòng đừng vặn nhỏ đèn,đèn,INCREASE
làm ơn bật quạt,quạt,ON
vui lòng đừng có mở quạt,quạt,OFF
vui lòng đóng quạt,quạt,OFF
vui lòng đừng tắt quạt,quạt,ON
làm ơn cho mạnh hơn quạt,quạt,INCREASE
đừng cho mạnh hơn quạt,quạt,DECREASE
giúp mình vặn nhỏ quạt,quạt,DECREASE
làm ơn khỏi cần giảm quạt,quạt,INCREASE
cho tôi mở đèn,đèn,ON
vui lòng không mở đèn,đèn,OFF
đóng đèn,đèn,OFF
không cần đóng đèn,đèn,ON
cho tôi làm mạnh hơn đèn,đèn,INCREASE
vui lòng không cần tăng đèn,đèn,DECREASE
vui lòng vặn nhỏ đèn,đèn,DECREASE
vui lòng đừng giảm đèn,đèn,INCREASE
vui lòng mở quạt,quạt,ON
giúp mình đừng mở quạt,quạt,OFF
đóng quạt,quạt,OFF
làm ơn đừng đóng quạt,quạt,ON
làm ơn tăng quạt,quạt,INCREASE
giúp mình khỏi cần tăng quạt,quạt,DECREASE
vui lòng cho yếu đi quạt,quạt,DECREASE
giúp mình đừng có làm nhẹ lại quạt,quạt,INCREASE
bật đèn,đèn,ON
vui lòng không cần mở đèn,đèn,OFF
vui lòng đóng đèn,đèn,OFF
giúp mình khỏi cần đóng đèn,đèn,ON
làm ơn làm mạnh hơn đèn,đèn,INCREASE
vui lòng không vặn to đèn,đèn,DECREASE
cho tôi vặn nhỏ đèn,đèn,DECREASE
vui lòng đừng cho yếu đi đèn,đèn,INCREASE
giúp mình bật quạt,quạt,ON
làm ơn đừng mở quạt,quạt,OFF
làm ơn tắt quạt,quạt,OFF
làm ơn đừng đóng quạt,quạt,ON
làm ơn vặn to quạt,quạt,INCREASE
làm ơn khỏi cần vặn to quạt,quạt,DECREASE
vui lòng làm nhẹ lại quạt,quạt,DECREASE
vui lòng khỏi cần cho yếu đi quạt,quạt,INCREASE
giúp mình mở đèn,đèn,ON
cho tôi không bật đèn,đèn,OFF
tắt đèn,đèn,OFF
làm ơn không cần đóng đèn,đèn,ON
vui lòng làm mạnh hơn đèn,đèn,INCREASE
vui lòng đừng có vặn to đèn,đèn,DECREASE
vui lòng cho yếu đi đèn,đèn,DECREASE
làm ơn không vặn nhỏ đèn,đèn,INCREASE
vui lòng mở quạt,quạt,ON
giúp mình không cần bật quạt,quạt,OFF
làm ơn tắt quạt,quạt,OFF
làm ơn đừng đóng quạt,quạt,ON
cho mạnh hơn quạt,quạt,INCREASE
cho tôi không tăng quạt,quạt,DECREASE
giảm quạt,quạt,DECREASE
cho tôi không cần giảm quạt,quạt,INCREASE
giúp mình mở đèn,đèn,ON
không bật đèn,đèn,OFF
tắt đèn,đèn,OFF
làm ơn khỏi cần đóng đèn,đèn,ON
vui lòng vặn to đèn,đèn,INCREASE
cho tôi đừng có làm mạnh hơn đèn,đèn,DECREASE
giúp mình làm nhẹ lại đèn,đèn,DECREASE
cho tôi không cần vặn nhỏ đèn,đèn,INCREASE
vui lòng bật quạt,quạt,ON
vui lòng đừng có mở quạt,quạt,OFF
cho tôi đóng quạt,quạt,OFF
vui lòng khỏi cần tắt quạt,quạt,ON
giúp mình cho mạnh hơn quạt,quạt,INCREASE
khỏi cần làm mạnh hơn quạt,quạt,DECREASE
vui lòng giảm quạt,quạt,DECREASE
vui lòng không làm nhẹ lại quạt,quạt,INCREASE
